TH  Field size,0,10,20,30,40,50,60
20,0.70937102,0.739087169,0.772361416,0.801575636,0.825423043,0.841439506,0.842402241
30,0.714232184,0.742131341,0.77470019,0.803432187,0.82690077,0.842615853,0.843371325
40,0.719500721,0.745448226,0.777217147,0.805415846,0.828470798,0.843860339,0.84439564
50,0.72495681,0.748954821,0.779853364,0.807480285,0.830096905,0.845144463,0.845451828
60,0.730468356,0.752593801,0.782570091,0.809596811,0.831756639,0.846450726,0.846525234
70,0.735954546,0.756322185,0.785339838,0.811744613,0.833434533,0.847767113,0.847606149
80,0.741365106,0.760105962,0.788141554,0.813908866,0.835119172,0.849084945,0.848687562
90,0.746668618,0.763917465,0.79095889,0.816077949,0.836802158,0.850397835,0.849764286
100,0.751845309,0.767733831,0.793778613,0.818242734,0.838476813,0.85170095,0.850832299
110,0.75688311,0.771536122,0.796589768,0.820396036,0.840138195,0.852990557,0.851888752
120,0.761774981,0.775308526,0.799383512,0.822531881,0.841781886,0.854263692,0.852931077
130,0.766517621,0.779037856,0.802152196,0.824645357,0.843404953,0.855518055,0.853957703
140,0.771109821,0.782713325,0.804889538,0.826732502,0.845004428,0.856751874,0.854966945
150,0.775552199,0.786326168,0.807590218,0.828790038,0.846578415,0.857963638,0.855957858
160,0.77984653,0.789869169,0.810249932,0.830815235,0.848125082,0.859152296,0.856929478
170,0.783995338,0.793336939,0.812864888,0.83280594,0.849643161,0.860317041,0.857881119
180,0.788001877,0.79672508,0.815432094,0.834760281,0.851131486,0.861457165,0.85881248
190,0.791869558,0.800030454,0.817949167,0.836676909,0.852589432,0.862572339,0.859723158
200,0.795602288,0.803250851,0.820414052,0.838554614,0.854016242,0.86366221,0.860612922
210,0.799203928,0.806384922,0.822825243,0.840392507,0.855411547,0.864726669,0.861481676
220,0.80267851,0.80943196,0.825181588,0.842190079,0.856775173,0.865765631,0.862329463
230,0.806030137,0.812391804,0.827482378,0.843946757,0.858106939,0.866779226,0.863156338
240,0.80926288,0.81526486,0.829727061,0.845662497,0.859406819,0.867767499,0.863962423
250,0.812380751,0.818051868,0.831915401,0.847337114,0.860674938,0.868730622,0.864747912
260,0.815387731,0.820753894,0.834047351,0.84897058,0.861911553,0.869668934,0.865512955
270,0.818287818,0.823372359,0.836123145,0.850563242,0.863116832,0.870582706,0.866257905
280,0.821084762,0.825908697,0.838143276,0.85211522,0.864291113,0.871472261,0.866983003
290,0.823782275,0.82836472,0.840108102,0.853627037,0.865434912,0.872337973,0.867688677
300,0.826384148,0.830742326,0.842018367,0.855099078,0.866548428,0.873180272,0.868375124
310,0.828893713,0.833043287,0.843874899,0.856531913,0.867632308,0.873999583,0.869042785
320,0.831314562,0.835269802,0.845678504,0.857926015,0.868686996,0.874796354,0.869692043
330,0.833649919,0.837423803,0.847430118,0.859282236,0.869713037,0.875571049,0.870323218
340,0.83590309,0.839507511,0.849130821,0.860601066,0.870710985,0.876324149,0.870936848
350,0.838077067,0.841522867,0.850781646,0.861883266,0.871681399,0.877056145,0.871533166
360,0.840175006,0.843472099,0.852383735,0.863129614,0.872624884,0.877767499,0.872112705
370,0.842199707,0.845357243,0.853938229,0.864340913,0.87354209,0.87845876,0.872675846
380,0.844153898,0.847180345,0.855446261,0.865517848,0.874433518,0.879130352,0.873222957
390,0.846040463,0.848943471,0.856909072,0.866661326,0.875299917,0.879782843,0.873754493
400,0.847861857,0.850648596,0.858327748,0.86777203,0.876141764,0.880416702,0.874270877
410,0.849620581,0.852297672,0.859703672,0.868850934,0.876959816,0.881032453,0.874772453
420,0.851319081,0.853892653,0.861037866,0.869898681,0.877754577,0.881630511,0.875259689
430,0.852959699,0.855435333,0.8623316,0.870916278,0.87852672,0.882211445,0.875732906
440,0.854544595,0.856927568,0.863586099,0.871904383,0.879276876,0.882775685,0.876192589
450,0.856075886,0.858371159,0.864802412,0.87286381,0.880005524,0.883323679,0.876639078
460,0.857555657,0.859767808,0.865981811,0.873795479,0.880713425,0.883855999,0.877072705
470,0.858985931,0.861119115,0.867125363,0.874700069,0.881401077,0.884372966,0.877493957
480,0.860368584,0.862426695,0.868234146,0.875578363,0.882069011,0.884875111,0.877903086
490,0.861705381,0.863692214,0.869309276,0.876431191,0.882717935,0.885362871,0.878300483
500,0.862998094,0.864917109,0.870351898,0.877259225,0.883348273,0.885836635,0.878686537
510,0.864248386,0.866102866,0.871362961,0.878063238,0.883960585,0.886296805,0.879061551
520,0.865457909,0.867250812,0.872343504,0.878843994,0.884555482,0.8867439,0.879425862
530,0.866628214,0.868362356,0.873294498,0.879602147,0.885133439,0.887178202,0.879779816
540,0.867760739,0.869438857,0.874216945,0.880338361,0.885694965,0.887600136,0.880123704
550,0.868856923,0.87048155,0.875111767,0.881053337,0.886240522,0.888010106,0.880457834
560,0.869918125,0.871491638,0.875979845,0.881747808,0.886770696,0.888408458,0.880782557
570,0.870945656,0.872470274,0.876822086,0.882422326,0.887285877,0.888795564,0.881098117
580,0.871940769,0.873418599,0.877639313,0.883077506,0.887786524,0.889171747,0.881404794
590,0.872904704,0.874337722,0.878432415,0.883713984,0.888273115,0.889537375,0.881702864
600,0.873838603,0.875228663,0.879202166,0.884332377,0.888746085,0.889892781,0.881992629
610,0.874743571,0.876092451,0.879949336,0.884933229,0.889205857,0.890238276,0.882274333
620,0.875620679,0.876930067,0.880674685,0.885517064,0.889652818,0.890574131,0.882548204
630,0.876470938,0.877742437,0.881378935,0.886084456,0.890087371,0.890900682,0.882814487
640,0.877295332,0.878530448,0.882062774,0.886635907,0.890509933,0.891218236,0.883073458
650,0.878094798,0.879294965,0.882726908,0.887171942,0.890920824,0.891527068,0.883325339
660,0.878870246,0.880036812,0.883371991,0.887693081,0.891320504,0.891827434,0.883570336
670,0.879622541,0.880756789,0.883998656,0.888199748,0.891709225,0.892119593,0.883808654
680,0.88035252,0.88145567,0.884607522,0.888692397,0.892087355,0.89240382,0.8840405
690,0.88106098,0.882134191,0.885199173,0.889171536,0.892455247,0.892680373,0.884266101
700,0.881748692,0.882793073,0.885774163,0.88963751,0.892813223,0.892949476,0.884485654
710,0.88241639,0.883432995,0.886333064,0.890090785,0.893161574,0.893211369,0.88469934
720,0.883064779,0.884054611,0.886876385,0.890531785,0.893500612,0.893466262,0.88490733
730,0.883694536,0.88465854,0.887404674,0.890960882,0.893830633,0.893714379,0.885109804
740,0.88430631,0.885245401,0.887918425,0.891378439,0.894151893,0.89395594,0.885306935
750,0.884900729,0.885815778,0.888418078,0.891784839,0.894464652,0.894191156,0.885498899
760,0.885478398,0.886370231,0.88890412,0.892180426,0.894769224,0.894420216,0.885685851
770,0.88603989,0.886909303,0.889376995,0.892565507,0.895065857,0.894643306,0.885867941
780,0.886585758,0.887433514,0.889837152,0.892940481,0.895354763,0.89486061,0.886045332
790,0.887116539,0.887943351,0.890284949,0.893305578,0.895636199,0.895072307,0.886218156
800,0.887632742,0.888439297,0.890720804,0.893661208,0.89591039,0.895278567,0.88638654
810,0.888134857,0.888921822,0.891145113,0.894007576,0.896177556,0.89547956,0.886550635
820,0.888623361,0.88939137,0.89155826,0.894345056,0.89643792,0.895675454,0.886710567
830,0.889098712,0.889848368,0.891960579,0.894673845,0.896691679,0.895866399,0.886866481
840,0.889561342,0.890293225,0.892352417,0.894994249,0.896939037,0.896052542,0.88701849
850,0.890011674,0.890726357,0.892734121,0.895306532,0.897180192,0.89623403,0.887166697
860,0.890450112,0.891148135,0.893105977,0.895610899,0.89741532,0.896411005,0.887311232
870,0.890877051,0.89155892,0.893468343,0.895907656,0.897644636,0.896583603,0.887452204
880,0.891292864,0.891959065,0.893821499,0.896196971,0.897868297,0.896751947,0.887589699
890,0.891697909,0.892348916,0.894165706,0.896479122,0.898086457,0.896916167,0.887723838
900,0.892092534,0.892728795,0.894501279,0.896754294,0.89829929,0.897076383,0.887854724
910,0.89247707,0.893099023,0.894828463,0.897022711,0.898506948,0.897232734,0.887982438
920,0.892851841,0.893459916,0.895147496,0.897284596,0.898709595,0.89738532,0.888107101
930,0.893217156,0.893811745,0.895458685,0.897540091,0.898907367,0.897534249,0.888228775
940,0.893573313,0.894154813,0.895762225,0.897789453,0.899100414,0.897679626,0.888347558
950,0.893920598,0.894489389,0.896058336,0.898032797,0.899288874,0.897821566,0.888463544
960,0.894259288,0.89481572,0.896347293,0.898270356,0.899472887,0.897960168,0.888576793
970,0.894589648,0.895134072,0.896629273,0.898502271,0.89965257,0.89809552,0.888687401
980,0.894911936,0.895444687,0.896904489,0.8987287,0.899828058,0.898227713,0.888795435
990,0.8952264,0.895747787,0.897173164,0.898949832,0.899999471,0.898356845,0.888900969
1000,0.895533279,0.896043614,0.897435456,0.89916579,0.900166931,0.898483005,0.889004077
